,runtime,training_steps,i_fps,t_fps,actors,envs,prefetchers,inferencers,storers,used_gpus,total_envs,setup
656,252.57889199256897,197440.0,815.0,781.0,4.0,64.0,1.0,1.0,2.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,260.74071073532104,197440.0,789.0,757.0,4.0,32.0,1.0,1.0,2.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,263.5678186416626,197440.0,759.0,749.0,2.0,16.0,1.0,1.0,2.0,1.0,32.0,"02 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,263.788560628891,197760.0,761.0,749.0,4.0,16.0,1.0,1.0,2.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,266.8806390762329,197760.0,752.0,741.0,4.0,16.0,2.0,1.0,2.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
651,270.84442329406744,197440.0,756.0,728.0,2.0,64.0,1.0,1.0,2.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,273.06714248657227,197440.0,733.0,723.0,4.0,8.0,2.0,1.0,2.0,1.0,32.0,"04 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
651,274.2257924079895,197440.0,749.0,719.0,4.0,32.0,2.0,2.0,2.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 2 inferencers, 02 storers"
644,276.3524837493896,197440.0,740.0,714.0,4.0,32.0,1.0,2.0,2.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 2 inferencers, 02 storers"
657,277.5354609489441,197440.0,740.0,711.0,2.0,64.0,2.0,1.0,2.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
657,280.3143858909607,197440.0,737.0,704.0,4.0,64.0,2.0,1.0,1.0,1.0,256.0,"04 actors, 64 envs, 2 prefetchers, 1 inferencers, 01 storers"
630,280.8362107276916,197440.0,718.0,703.0,4.0,16.0,2.0,2.0,2.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 2 inferencers, 02 storers"
657,283.91171193122864,197440.0,727.0,695.0,4.0,64.0,1.0,1.0,1.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,284.83910465240484,197760.0,704.0,694.0,4.0,16.0,1.0,1.0,1.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,284.8384041786194,197440.0,722.0,693.0,4.0,32.0,2.0,1.0,4.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 04 storers"
657,287.3386054039001,197440.0,715.0,687.0,2.0,64.0,1.0,2.0,2.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 2 inferencers, 02 storers"
656,287.10307550430304,197440.0,716.0,687.0,4.0,32.0,1.0,1.0,4.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 04 storers"
655,288.2916264533997,197440.0,713.0,684.0,4.0,32.0,2.0,1.0,2.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
657,290.63510060310364,197440.0,707.0,679.0,4.0,32.0,2.0,1.0,1.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 01 storers"
655,291.4246108531952,197760.0,688.0,678.0,2.0,32.0,2.0,2.0,2.0,1.0,64.0,"02 actors, 32 envs, 2 prefetchers, 2 inferencers, 02 storers"
655,293.16910266876215,197440.0,685.0,673.0,8.0,8.0,2.0,1.0,2.0,1.0,64.0,"08 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,296.7992849349976,197440.0,674.0,665.0,4.0,8.0,1.0,2.0,2.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 2 inferencers, 02 storers"
657,296.85303783416754,197440.0,693.0,665.0,2.0,64.0,2.0,1.0,1.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 1 inferencers, 01 storers"
657,297.12418031692505,197440.0,692.0,664.0,2.0,64.0,2.0,2.0,2.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 2 inferencers, 02 storers"
655,298.41165280342096,197760.0,673.0,662.0,4.0,16.0,1.0,1.0,4.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 04 storers"
661,297.6384570598603,197120.0,691.0,662.0,8.0,64.0,2.0,1.0,2.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,298.9027571678162,197120.0,688.0,659.0,8.0,16.0,2.0,1.0,2.0,1.0,128.0,"08 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
661,299.26038193702703,197120.0,689.0,658.0,8.0,64.0,1.0,1.0,2.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
656,300.44440054893494,197760.0,668.0,658.0,4.0,16.0,2.0,1.0,1.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 1 inferencers, 01 storers"
643,300.22526407241816,197440.0,683.0,657.0,4.0,32.0,1.0,2.0,4.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 2 inferencers, 04 storers"
662,300.30513501167303,197120.0,685.0,656.0,8.0,32.0,1.0,1.0,2.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
660,300.8272409439087,197120.0,684.0,655.0,8.0,32.0,2.0,1.0,2.0,1.0,256.0,"08 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,300.7545461654663,197120.0,683.0,655.0,8.0,16.0,1.0,1.0,2.0,1.0,128.0,"08 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
658,301.5123827457428,197440.0,680.0,654.0,2.0,64.0,1.0,1.0,1.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 1 inferencers, 01 storers"
616,301.71278333663935,197440.0,657.0,654.0,2.0,8.0,1.0,1.0,2.0,1.0,16.0,"02 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
657,302.3081612586975,197440.0,680.0,653.0,4.0,32.0,1.0,1.0,1.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 01 storers"
661,302.92014122009283,197120.0,683.0,650.0,16.0,32.0,2.0,1.0,2.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,302.840117931366,197120.0,680.0,650.0,4.0,64.0,1.0,2.0,2.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 2 inferencers, 02 storers"
617,303.64550042152405,197440.0,660.0,650.0,2.0,16.0,2.0,1.0,1.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 1 inferencers, 01 storers"
617,303.6749057769776,197440.0,660.0,650.0,4.0,8.0,1.0,1.0,2.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,304.6221356391907,197440.0,658.0,648.0,2.0,16.0,2.0,1.0,2.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,304.29549288749695,197440.0,659.0,648.0,4.0,8.0,2.0,1.0,1.0,1.0,32.0,"04 actors, 08 envs, 2 prefetchers, 1 inferencers, 01 storers"
653,304.4307134151459,197440.0,685.0,648.0,4.0,64.0,1.0,2.0,1.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 2 inferencers, 01 storers"
654,305.51659178733826,197440.0,677.0,646.0,4.0,64.0,2.0,2.0,1.0,1.0,256.0,"04 actors, 64 envs, 2 prefetchers, 2 inferencers, 01 storers"
654,306.28361368179316,197440.0,668.0,644.0,4.0,32.0,2.0,2.0,1.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 2 inferencers, 01 storers"
652,307.46511936187744,197440.0,664.0,642.0,4.0,32.0,1.0,2.0,1.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 2 inferencers, 01 storers"
617,307.1325047016144,197440.0,652.0,642.0,4.0,8.0,1.0,1.0,1.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,308.81051492691034,197760.0,650.0,640.0,2.0,32.0,1.0,1.0,1.0,1.0,64.0,"02 actors, 32 envs, 1 prefetchers, 1 inferencers, 01 storers"
665,308.48214626312256,197120.0,667.0,638.0,16.0,16.0,2.0,1.0,2.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,309.8398559093476,197120.0,664.0,636.0,16.0,8.0,2.0,1.0,2.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
650,310.6925375461578,197440.0,648.0,635.0,2.0,32.0,2.0,1.0,2.0,1.0,64.0,"02 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,310.73378252983093,197440.0,645.0,635.0,2.0,16.0,1.0,1.0,1.0,1.0,32.0,"02 actors, 16 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,311.03998661041265,197760.0,645.0,635.0,2.0,32.0,1.0,1.0,2.0,1.0,64.0,"02 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
656,310.35962295532227,197120.0,662.0,635.0,16.0,8.0,1.0,1.0,2.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,312.6575808525085,197440.0,635.0,631.0,2.0,8.0,2.0,1.0,2.0,1.0,16.0,"02 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
616,312.33551120758057,197120.0,642.0,631.0,8.0,4.0,2.0,1.0,2.0,1.0,32.0,"08 actors, 04 envs, 2 prefetchers, 1 inferencers, 02 storers"
634,313.3658523559571,197440.0,641.0,630.0,4.0,16.0,1.0,2.0,2.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 2 inferencers, 02 storers"
641,313.7021698951721,197440.0,670.0,629.0,8.0,32.0,1.0,2.0,2.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 2 inferencers, 02 storers"
634,313.15349888801575,197120.0,653.0,629.0,8.0,16.0,2.0,2.0,2.0,1.0,128.0,"08 actors, 16 envs, 2 prefetchers, 2 inferencers, 02 storers"
655,313.8588218688965,197440.0,640.0,629.0,4.0,16.0,1.0,2.0,4.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 2 inferencers, 04 storers"
655,314.2482702732086,197440.0,640.0,628.0,16.0,4.0,2.0,1.0,2.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 1 inferencers, 02 storers"
632,313.82827830314636,197120.0,660.0,628.0,16.0,16.0,2.0,2.0,2.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 2 inferencers, 02 storers"
656,314.39663314819336,197120.0,657.0,626.0,16.0,16.0,1.0,1.0,2.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
660,314.83270287513733,197120.0,653.0,626.0,4.0,64.0,1.0,1.0,4.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 04 storers"
632,315.31051993370056,197120.0,645.0,625.0,8.0,16.0,1.0,2.0,2.0,1.0,128.0,"08 actors, 16 envs, 1 prefetchers, 2 inferencers, 02 storers"
616,314.99360799789434,197120.0,629.0,625.0,8.0,4.0,1.0,1.0,2.0,1.0,32.0,"08 actors, 04 envs, 1 prefetchers, 1 inferencers, 02 storers"
656,316.66387963294983,197760.0,633.0,624.0,2.0,32.0,2.0,1.0,1.0,1.0,64.0,"02 actors, 32 envs, 2 prefetchers, 1 inferencers, 01 storers"
617,316.84052968025213,197440.0,628.0,623.0,2.0,8.0,1.0,1.0,1.0,1.0,16.0,"02 actors, 08 envs, 1 prefetchers, 1 inferencers, 01 storers"
620,316.48859143257135,197120.0,637.0,622.0,8.0,8.0,2.0,2.0,2.0,1.0,64.0,"08 actors, 08 envs, 2 prefetchers, 2 inferencers, 02 storers"
622,317.4859831333161,197440.0,633.0,621.0,4.0,16.0,2.0,2.0,1.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 2 inferencers, 01 storers"
621,317.53457021713257,197120.0,637.0,620.0,16.0,8.0,2.0,2.0,2.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 2 inferencers, 02 storers"
665,318.47554135322565,197120.0,649.0,618.0,16.0,32.0,1.0,1.0,2.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
658,319.1498529911041,197440.0,644.0,618.0,2.0,64.0,1.0,2.0,1.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 2 inferencers, 01 storers"
646,319.44465017318726,197120.0,672.0,617.0,16.0,32.0,1.0,2.0,2.0,1.0,512.0,"16 actors, 32 envs, 1 prefetchers, 2 inferencers, 02 storers"
653,319.4028451442718,197120.0,647.0,617.0,4.0,64.0,1.0,2.0,4.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 2 inferencers, 04 storers"
647,319.3188858032226,197120.0,662.0,617.0,8.0,32.0,2.0,2.0,2.0,1.0,256.0,"08 actors, 32 envs, 2 prefetchers, 2 inferencers, 02 storers"
619,319.3324913978577,197120.0,637.0,617.0,16.0,8.0,1.0,2.0,2.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 2 inferencers, 02 storers"
652,319.4620943069458,197120.0,645.0,617.0,16.0,16.0,1.0,1.0,4.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 1 inferencers, 04 storers"
663,319.8757314682007,197120.0,643.0,616.0,4.0,64.0,2.0,1.0,2.0,1.0,256.0,"04 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
658,320.22769856452936,197440.0,642.0,616.0,2.0,64.0,2.0,2.0,1.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 2 inferencers, 01 storers"
665,320.47500872612005,197120.0,642.0,615.0,8.0,32.0,2.0,1.0,4.0,1.0,256.0,"08 actors, 32 envs, 2 prefetchers, 1 inferencers, 04 storers"
664,320.35586643218994,197120.0,644.0,615.0,8.0,64.0,1.0,1.0,4.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 1 inferencers, 04 storers"
646,320.29274725913996,197120.0,645.0,615.0,16.0,16.0,2.0,1.0,4.0,1.0,256.0,"16 actors, 16 envs, 2 prefetchers, 1 inferencers, 04 storers"
656,320.15128135681147,197120.0,642.0,615.0,8.0,16.0,2.0,1.0,4.0,1.0,128.0,"08 actors, 16 envs, 2 prefetchers, 1 inferencers, 04 storers"
655,320.8057367801666,197440.0,625.0,615.0,8.0,8.0,1.0,1.0,2.0,1.0,64.0,"08 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
660,321.46036696434015,197120.0,644.0,613.0,16.0,32.0,2.0,1.0,4.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 04 storers"
664,321.57551455497736,197120.0,640.0,612.0,8.0,32.0,1.0,1.0,4.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 1 inferencers, 04 storers"
623,321.9197444915772,197120.0,624.0,612.0,8.0,8.0,1.0,2.0,2.0,1.0,64.0,"08 actors, 08 envs, 1 prefetchers, 2 inferencers, 02 storers"
642,322.88638496398926,197440.0,636.0,611.0,4.0,16.0,2.0,2.0,4.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 2 inferencers, 04 storers"
657,322.10518813133234,197120.0,641.0,611.0,4.0,64.0,2.0,2.0,4.0,1.0,256.0,"04 actors, 64 envs, 2 prefetchers, 2 inferencers, 04 storers"
617,322.96485257148737,197440.0,616.0,611.0,2.0,8.0,2.0,2.0,2.0,1.0,16.0,"02 actors, 08 envs, 2 prefetchers, 2 inferencers, 02 storers"
654,323.22983860969543,197120.0,674.0,609.0,8.0,64.0,1.0,2.0,2.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 2 inferencers, 02 storers"
622,324.2650265693665,197440.0,621.0,608.0,4.0,16.0,1.0,2.0,1.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 2 inferencers, 01 storers"
617,325.0915365219116,197440.0,617.0,607.0,2.0,16.0,2.0,2.0,2.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 2 inferencers, 02 storers"
654,326.25072598457336,197760.0,617.0,606.0,2.0,32.0,1.0,2.0,2.0,1.0,64.0,"02 actors, 32 envs, 1 prefetchers, 2 inferencers, 02 storers"
665,324.90107560157776,197120.0,637.0,606.0,8.0,64.0,2.0,1.0,4.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 1 inferencers, 04 storers"
617,326.45395755767817,197440.0,613.0,604.0,2.0,16.0,2.0,2.0,1.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 2 inferencers, 01 storers"
656,326.8322033882141,197120.0,627.0,603.0,16.0,8.0,1.0,1.0,4.0,1.0,128.0,"16 actors, 08 envs, 1 prefetchers, 1 inferencers, 04 storers"
617,326.9017841815948,197440.0,613.0,603.0,2.0,16.0,1.0,2.0,2.0,1.0,32.0,"02 actors, 16 envs, 1 prefetchers, 2 inferencers, 02 storers"
666,326.62447881698614,197120.0,632.0,603.0,16.0,32.0,2.0,1.0,1.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 01 storers"
617,327.32579374313354,197440.0,607.0,603.0,4.0,4.0,1.0,1.0,2.0,1.0,16.0,"04 actors, 04 envs, 1 prefetchers, 1 inferencers, 02 storers"
656,327.0821115970612,197120.0,629.0,602.0,16.0,8.0,2.0,1.0,4.0,1.0,128.0,"16 actors, 08 envs, 2 prefetchers, 1 inferencers, 04 storers"
636,329.0069279670716,197120.0,612.0,599.0,16.0,4.0,2.0,1.0,4.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 1 inferencers, 04 storers"
655,330.11985468864435,197440.0,607.0,598.0,16.0,4.0,1.0,1.0,2.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,329.84435367584234,197440.0,602.0,598.0,4.0,4.0,2.0,1.0,2.0,1.0,16.0,"04 actors, 04 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,330.5440931320191,197440.0,605.0,597.0,4.0,8.0,2.0,2.0,2.0,1.0,32.0,"04 actors, 08 envs, 2 prefetchers, 2 inferencers, 02 storers"
617,329.78113818168634,197120.0,609.0,597.0,16.0,4.0,2.0,2.0,2.0,1.0,64.0,"16 actors, 04 envs, 2 prefetchers, 2 inferencers, 02 storers"
634,331.0570559501648,197120.0,626.0,595.0,16.0,16.0,1.0,2.0,2.0,1.0,256.0,"16 actors, 16 envs, 1 prefetchers, 2 inferencers, 02 storers"
636,331.25888228416443,197120.0,605.0,595.0,16.0,4.0,1.0,1.0,4.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 1 inferencers, 04 storers"
650,330.76322865486145,197120.0,622.0,595.0,8.0,32.0,1.0,2.0,4.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 2 inferencers, 04 storers"
656,331.9221267700196,197440.0,616.0,594.0,4.0,16.0,2.0,1.0,4.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 1 inferencers, 04 storers"
617,332.4310140609741,197440.0,598.0,593.0,4.0,4.0,2.0,1.0,1.0,1.0,16.0,"04 actors, 04 envs, 2 prefetchers, 1 inferencers, 01 storers"
617,332.84940624237066,197120.0,602.0,592.0,16.0,4.0,1.0,2.0,2.0,1.0,64.0,"16 actors, 04 envs, 1 prefetchers, 2 inferencers, 02 storers"
671,332.73639249801636,197120.0,618.0,592.0,8.0,64.0,2.0,1.0,1.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 1 inferencers, 01 storers"
616,332.69590353965765,197120.0,596.0,592.0,8.0,4.0,1.0,1.0,4.0,1.0,32.0,"08 actors, 04 envs, 1 prefetchers, 1 inferencers, 04 storers"
657,334.35990428924566,197760.0,600.0,591.0,2.0,32.0,1.0,2.0,1.0,1.0,64.0,"02 actors, 32 envs, 1 prefetchers, 2 inferencers, 01 storers"
617,334.7211184501648,197440.0,597.0,589.0,4.0,8.0,1.0,2.0,4.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 2 inferencers, 04 storers"
